1tally        4        nps =   802086646
           tally type 4    track length estimate of particle flux.      units   1/cm**2        
           particle(s): neutrons 

           volumes 
                   cell:      80           81           82           83           84           85                  
                         9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01
 
 cell  80                                                                                                                              
      energy   
    8.2000E+00   5.08785E-09 0.2457
    8.3000E+00   3.93543E-09 0.2780
    8.4000E+00   2.74325E-09 0.3310
    8.5000E+00   1.94374E-09 0.3711
    8.6000E+00   3.23737E-09 0.2847
    8.7000E+00   1.90709E-09 0.3628
    8.8000E+00   2.89542E-09 0.3104
    8.9000E+00   2.41980E-09 0.3349
    9.0000E+00   3.13039E-09 0.3037
    9.1000E+00   3.63131E-09 0.2821
    9.2000E+00   2.40445E-09 0.3454
    9.3000E+00   1.49027E-09 0.4075
    9.4000E+00   1.32288E-09 0.4382
    9.5000E+00   1.78337E-09 0.4079
    9.6000E+00   9.93506E-10 0.5146
    9.7000E+00   2.75404E-09 0.3244
    9.8000E+00   1.00888E-09 0.5774
    9.9000E+00   1.81856E-09 0.4213
    1.0000E+01   8.39764E-10 0.5269
    1.0100E+01   1.71516E-09 0.4184
    1.0200E+01   9.03391E-10 0.5231
    1.0300E+01   6.48107E-10 0.6242
    1.0400E+01   5.62250E-10 0.6472
    1.0500E+01   2.67648E-09 0.3308
    1.0600E+01   2.91611E-10 1.0000
    1.0700E+01   1.22885E-09 0.5162
    1.0800E+01   1.81948E-09 0.4285
    1.0900E+01   3.56709E-10 1.0000
    1.1000E+01   5.61469E-10 0.7372
    1.1100E+01   7.31342E-10 0.6035
    1.1200E+01   0.00000E+00 0.0000
    1.1300E+01   3.37845E-10 1.0000
    1.1400E+01   4.54242E-10 0.7337
    1.1500E+01   3.86587E-10 0.7087
    1.1600E+01   7.88092E-10 0.6078
    1.1700E+01   1.04330E-09 0.5776
    1.1800E+01   6.25077E-10 0.7120
    1.1900E+01   4.59863E-10 0.7228
    1.2000E+01   1.05909E-09 0.5785
