Memory Length,25000,Memory Length,25000,
Trigger Level,1.51V,Trigger Level,1.51V,
Source,CH1,Source,CH3,
Probe Ratio,1.000E+00,Probe Ratio,1.000E+00,
Vertical Units,V,Vertical Units,V,
Vertical Scale,1.000E-02,Vertical Scale,2.000E+00,
Vertical Position,-2.160E-02,Vertical Position,-5.760E+00,
Horizontal Units,S,Horizontal Units,S,
Horizontal Scale,5.000E-06,Horizontal Scale,5.000E-06,
Horizontal Position,1.005E-05,Horizontal Position,1.005E-05,
Horizontal Mode,Main,Horizontal Mode,Main,
Sampling Period,2.000E-09,Sampling Period,2.000E-09,
Firmware,V1.21,Firmware,V1.21,
Time,24-Mar-17 06:31:22,Time,24-Mar-17 06:31:23,
Mode,Detail,Mode,Detail,
Waveform Data,,Waveform Data,,
-1.464600e-05,0.002000,-1.464600e-05,-0.080000,
-1.464400e-05,0.002000,-1.464400e-05,-0.080000,
-1.464200e-05,0.001200,-1.464200e-05,-0.080000,
-1.464000e-05,0.000400,-1.464000e-05,-0.080000,
-1.463800e-05,-0.001600,-1.463800e-05,-0.080000,
-1.463600e-05,-0.002400,-1.463600e-05,-0.080000,
-1.463400e-05,-0.001200,-1.463400e-05,-0.080000,
-1.463200e-05,0.000800,-1.463200e-05,-0.080000,
-1.463000e-05,0.002000,-1.463000e-05,-0.080000,
-1.462800e-05,0.001200,-1.462800e-05,-0.080000,
-1.462600e-05,0.000400,-1.462600e-05,-0.080000,
-1.462400e-05,0.000800,-1.462400e-05,-0.080000,
-1.462200e-05,0.000400,-1.462200e-05,-0.080000,
-1.462000e-05,0.001200,-1.462000e-05,-0.080000,
-1.461800e-05,0.002000,-1.461800e-05,-0.080000,
-1.461600e-05,0.003600,-1.461600e-05,-0.080000,
-1.461400e-05,0.004400,-1.461400e-05,0.000000,
-1.461200e-05,0.003600,-1.461200e-05,-0.080000,
-1.461000e-05,0.002000,-1.461000e-05,-0.080000,
-1.460800e-05,-0.000400,-1.460800e-05,-0.080000,
-1.460600e-05,-0.001600,-1.460600e-05,-0.080000,
-1.460400e-05,-0.001200,-1.460400e-05,-0.080000,
-1.460200e-05,-0.000800,-1.460200e-05,-0.080000,
-1.460000e-05,0.000000,-1.460000e-05,-0.080000,
-1.459800e-05,0.001200,-1.459800e-05,-0.080000,
-1.459600e-05,0.001600,-1.459600e-05,-0.080000,
-1.459400e-05,0.002000,-1.459400e-05,-0.080000,
-1.459200e-05,0.001600,-1.459200e-05,-0.080000,
-1.459000e-05,-0.000400,-1.459000e-05,-0.080000,
-1.458800e-05,0.001200,-1.458800e-05,-0.080000,
-1.458600e-05,0.001200,-1.458600e-05,-0.080000,
-1.458400e-05,0.001200,-1.458400e-05,-0.080000,
-1.458200e-05,0.001200,-1.458200e-05,-0.080000,
-1.458000e-05,0.003600,-1.458000e-05,-0.080000,
-1.457800e-05,0.004800,-1.457800e-05,-0.080000,
-1.457600e-05,0.001200,-1.457600e-05,-0.080000,
-1.457400e-05,-0.000800,-1.457400e-05,-0.080000,
-1.457200e-05,-0.001200,-1.457200e-05,-0.080000,
-1.457000e-05,-0.000400,-1.457000e-05,-0.080000,
-1.456800e-05,-0.001200,-1.456800e-05,-0.080000,
-1.456600e-05,-0.000800,-1.456600e-05,-0.080000,
-1.456400e-05,0.001200,-1.456400e-05,-0.080000,
-1.456200e-05,0.001600,-1.456200e-05,-0.080000,
-1.456000e-05,0.001600,-1.456000e-05,-0.080000,
-1.455800e-05,0.001200,-1.455800e-05,-0.080000,
-1.455600e-05,0.000800,-1.455600e-05,-0.080000,
-1.455400e-05,0.001200,-1.455400e-05,-0.080000,
-1.455200e-05,0.002400,-1.455200e-05,-0.080000,
-1.455000e-05,0.003600,-1.455000e-05,-0.080000,
-1.454800e-05,0.002800,-1.454800e-05,-0.080000,
