18-Ar-40(n,total) ENDF/B-VII.1
169283.0,2.69324
169658.0,3.32886
170158.0,4.47787
170657.0,5.98123
171046.0,7.4291
172434.0,13.7134
172933.0,15.095
173433.0,15.4794
174099.0,14.8497
176292.0,9.37779
177263.0,7.54684
178187.0,6.26341
179345.0,5.16319
180108.0,4.60531
180472.0,4.34114
180622.0,4.46719
180705.0,4.7989
180759.0,5.31304
180800.0,6.05533
180827.0,6.90481
180846.0,7.82865
180866.0,9.27599
180884.0,11.1314
180900.0,13.6803
180915.0,17.0429
180935.0,22.7478
180954.0,28.5717
180969.0,31.1316
180975.0,31.3606
180984.0,30.6441
181000.0,27.1398
181030.0,18.0067
181046.0,14.2422
181062.0,11.6042
181078.0,9.73781
181098.0,8.08169
181121.0,6.90236
181147.0,6.0284
181185.0,5.23567
181228.0,4.7367
181304.0,4.28055
181427.0,3.99398
181674.0,3.88393
182000.0,3.95386
183240.0,3.3333
184322.0,2.998
185399.0,2.76409
185463.0,2.79449
185495.0,2.89414
185508.0,3.01686
185517.0,3.20647
185524.0,3.52326
185530.0,4.00594
185534.0,4.60589
185540.0,5.65433
185546.0,7.29929
185560.0,11.8064
185566.0,13.1601
185570.0,13.4361
185576.0,13.0101
185582.0,11.4358
185596.0,7.0178
185602.0,5.53043
185608.0,4.57597
185612.0,4.0343
185618.0,3.61619
185628.0,3.24914
185643.0,3.00371
185674.0,2.84067
185747.0,2.72438
186139.0,2.58624
189896.0,2.04538
192000.0,1.84647
192802.0,1.92778
192982.0,2.01876
193078.0,2.15911
193131.0,2.34972
193164.0,2.57101
193194.0,2.95019
193214.0,3.39765
193230.0,4.01332
193242.0,4.68388
193252.0,5.52464
193261.0,6.60932
193270.0,8.22258
193280.0,10.4243
193290.0,13.7408
193310.0,21.9028
193319.0,24.0332
193324.0,24.4086
193332.0,23.65
193340.0,21.4737
193362.0,12.8183
193371.0,10.1015
193381.0,8.09222
193390.0,6.65987
193400.0,5.50405
193412.0,4.6508
193425.0,3.98973
193442.0,3.4515
193461.0,3.04707
193493.0,2.66362
193533.0,2.40481
193586.0,2.21809
193682.0,2.06209
193886.0,1.94502
194929.0,1.71591
195341.0,1.66075
195360.0,1.68421
195370.0,1.76839
195376.0,1.9226
195381.0,2.1583
195387.0,2.60143
195398.0,3.61279
195406.0,4.34677
195412.0,4.59211
195413.0,4.59794
195418.0,4.42132
195425.0,3.88522
195437.0,2.70185
195443.0,2.29631
195448.0,2.03971
195454.0,1.86386
195463.0,1.7604
195486.0,1.69849
195743.0,1.63805
196565.0,1.55298
196631.0,1.58684
196645.0,1.66188
196652.0,1.7908
196658.0,1.97189
196664.0,2.29577
196670.0,2.85288
196686.0,4.39618
196692.0,4.74033
196694.0,4.76705
196700.0,4.6205
196707.0,4.08329
196719.0,2.77878
196726.0,2.27273
196732.0,1.98717
196737.0,1.81256
196745.0,1.69248
196756.0,1.62031
196789.0,1.56367
197000.0,1.51275
197060.0,1.51268
197977.0,1.54158
198458.0,1.44751
198487.0,1.46662
198497.0,1.51052
198503.0,1.59413
198509.0,1.72452
198514.0,1.96181
198518.0,2.27309
198524.0,2.82131
198530.0,3.77112
198541.0,5.386
198547.0,5.95448
198550.0,6.05108
198556.0,5.81828
198562.0,5.09854
198575.0,3.16639
198580.0,2.54422
198585.0,2.17804
198589.0,1.90824
198594.0,1.73764
198601.0,1.59998
198613.0,1.51503
198646.0,1.45123
198838.0,1.37578
199000.0,1.33895
200000.0,1.36554
207916.0,0.973213
209753.0,0.874521
211674.0,0.725555
215420.0,0.389979
216381.0,0.301892
216861.0,0.272363
217000.0,0.267632
217269.0,0.247296
217413.0,0.243734
217605.0,0.251024
217750.0,0.268523
217894.0,0.299911
218008.0,0.332318
218023.0,0.332772
218062.0,0.332085
218206.0,0.345805
218326.0,0.382216
218422.0,0.431318
218518.0,0.502507
218626.0,0.615192
218722.0,0.749475
218818.0,0.92306
218914.0,1.14367
219082.0,1.6287
219205.0,2.08927
219339.0,2.76528
219474.0,3.63961
219644.0,5.04278
220053.0,9.1725
220231.0,10.8727
220396.0,11.7857
220550.0,12.047
220780.0,11.682
221046.0,10.6806
221568.0,7.96782
221952.0,6.47555
222336.0,5.43257
222817.0,4.48899
223297.0,3.84368
224000.0,3.21596
224834.0,2.7464
225987.0,2.33622
227283.0,1.99053
227550.0,1.94288
227576.0,1.95864
227588.0,2.03088
227596.0,2.16513
227606.0,2.48418
227622.0,3.15801
227630.0,3.28954
227638.0,3.17771
227660.0,2.305
227669.0,2.09535
227678.0,1.99219
227692.0,1.94303
228220.0,1.83582
230473.0,1.57625
235353.0,1.20417
241449.0,0.883742
242057.0,0.858571
242656.0,0.794436
242722.0,0.793231
242885.0,0.817817
242946.0,0.854929
242994.0,0.916945
243028.0,1.00417
243057.0,1.14049
243076.0,1.28476
243091.0,1.47195
243103.0,1.6841
243114.0,1.99543
243123.0,2.35313
243131.0,2.84685
243138.0,3.43095
243145.0,4.17772
243151.0,5.1806
243158.0,6.65222
243167.0,8.98105
243183.0,13.5122
243191.0,15.0839
243197.0,15.5119
